postal_code,city,latitude,longitude,conv
20099,hamburg,53.55,10.02,120
20095,hamburg,53.55,9.99,38
22307,hamburg,53.6,10.04,28
22081,hamburg,53.58,10.04,13
22083,hamburg,53.58,10.04,11
20259,hamburg,53.57,9.96,7
22303,hamburg,53.59,10.02,7
22175,hamburg,53.62,10.1,6
20097,hamburg,53.55,10.02,5
22049,hamburg,53.59,10.07,5
22305,hamburg,53.59,10.04,5
22309,hamburg,53.59,10.04,5
22089,hamburg,53.56,10.03,4
20459,hamburg,53.55,9.99,3
22085,hamburg,53.57,10.01,3
20144,hamburg,53.58,9.98,2
20535,hamburg,53.55,10.03,2
21079,hamburg,53.47,10.03,2
22111,hamburg,53.55,10.09,2
22607,hamburg,53.57,9.89,2
20253,hamburg,53.6,9.97,1
20359,hamburg,53.55,9.95,1
21031,hamburg,53.49,10.21,1
21033,hamburg,53.51,10.16,1
21107,hamburg,53.53,9.97,1
22299,hamburg,53.6,10.01,1
22335,hamburg,53.61,10.01,1
22393,hamburg,53.65,10.12,1
22397,hamburg,53.71,10.11,1
22453,hamburg,53.63,10.02,1
22529,hamburg,53.58,9.97,1
22547,hamburg,53.59,9.88,1
22549,hamburg,53.58,9.86,1
22763,hamburg,53.55,9.91,1
